Protein A	Protein B
O75529	9606.ENSP00000294168
O75529	9606.ENSP00000417510
O75529	9606.ENSP00000352925
O75529	9606.ENSP00000370193
O75529	9606.ENSP00000417510
O75529	9606.ENSP00000339917
O75529	9606.ENSP00000370193
O75529	9606.ENSP00000352925
O75529	9606.ENSP00000307684
O75529	9606.ENSP00000299424
O75529	9606.ENSP00000360515
O75529	9606.ENSP00000356848
O75529	9606.ENSP00000339917
O75529	9606.ENSP00000370193
O75529	9606.ENSP00000352925
O75529	9606.ENSP00000417510
O75529	9606.ENSP00000360515
O75529	9606.ENSP00000356848
O75529	9606.ENSP00000307684
O75529	9606.ENSP00000356848
O75529	9606.ENSP00000339917
O75529	9606.ENSP00000370193
O75529	9606.ENSP00000352925
O75529	9606.ENSP00000417510
O75529	9606.ENSP00000360515
O75529	9606.ENSP00000370193
O75529	9606.ENSP00000417510
O75529	9606.ENSP00000356848
O75529	9606.ENSP00000360515
O75529	9606.ENSP00000352925
O75529	9606.ENSP00000370193
O75529	9606.ENSP00000417510
O75529	9606.ENSP00000360515
O75529	9606.ENSP00000356848
O75529	9606.ENSP00000417510
O75529	9606.ENSP00000370193
O75529	9606.ENSP00000360515
O75529	9606.ENSP00000370193
O75529	9606.ENSP00000417510
O75529	9606.ENSP00000417510
Q9UPT9	9606.ENSP00000339917
Q9UPT9	9606.ENSP00000397259
Q9UPT9	9606.ENSP00000429986
Q9UPT9	9606.ENSP00000295900
Q9UPT9	9606.ENSP00000261497
Q9UPT9	9606.ENSP00000352925
Q9UPT9	9606.ENSP00000316114
Q9UPT9	9606.ENSP00000299424
Q9UPT9	9606.ENSP00000360515
Q9UPT9	9606.ENSP00000307684
Q9UPT9	9606.ENSP00000339917
Q9UPT9	9606.ENSP00000360515
Q9UPT9	9606.ENSP00000299424
Q9UPT9	9606.ENSP00000307684
Q9UPT9	9606.ENSP00000352925
Q9UPT9	9606.ENSP00000316114
Q9UPT9	9606.ENSP00000429986
Q9UPT9	9606.ENSP00000295900
Q9UPT9	9606.ENSP00000397259
Q9UPT9	9606.ENSP00000339917
Q9UPT9	9606.ENSP00000316114
Q9UPT9	9606.ENSP00000307684
Q9UPT9	9606.ENSP00000360515
Q9UPT9	9606.ENSP00000299424
Q9UPT9	9606.ENSP00000352925
Q9UPT9	9606.ENSP00000429986
Q9UPT9	9606.ENSP00000397259
Q9UPT9	9606.ENSP00000397259
Q9UPT9	9606.ENSP00000429986
Q9UPT9	9606.ENSP00000339917
Q9UPT9	9606.ENSP00000352925
Q9UPT9	9606.ENSP00000316114
Q9UPT9	9606.ENSP00000360515
Q9UPT9	9606.ENSP00000307684
Q9UPT9	9606.ENSP00000397259
Q9UPT9	9606.ENSP00000429986
Q9UPT9	9606.ENSP00000339917
Q9UPT9	9606.ENSP00000352925
Q9UPT9	9606.ENSP00000316114
Q9UPT9	9606.ENSP00000360515
Q9UPT9	9606.ENSP00000397259
Q9UPT9	9606.ENSP00000339917
Q9UPT9	9606.ENSP00000360515
Q9UPT9	9606.ENSP00000352925
Q9UPT9	9606.ENSP00000429986
Q9UPT9	9606.ENSP00000429986
Q9UPT9	9606.ENSP00000397259
Q9UPT9	9606.ENSP00000360515
Q9UPT9	9606.ENSP00000352925
Q9UPT9	9606.ENSP00000429986
Q9UPT9	9606.ENSP00000397259
Q9UPT9	9606.ENSP00000360515
Q9UPT9	9606.ENSP00000429986
Q9UPT9	9606.ENSP00000397259
Q9UPT9	9606.ENSP00000429986
P15622	9606.ENSP00000365407
P15622	9606.ENSP00000282292
P15622	9606.ENSP00000337555
P15622	9606.ENSP00000292579
P15622	9606.ENSP00000292579
P15622	9606.ENSP00000337555
P15622	9606.ENSP00000292579
P15622	9606.ENSP00000365407
P15622	9606.ENSP00000495273
P15622	9606.ENSP00000337555
P15622	9606.ENSP00000363972
P15622	9606.ENSP00000392318
P15622	9606.ENSP00000470323
P15622	9606.ENSP00000342098
P15622	9606.ENSP00000365407
P15622	9606.ENSP00000365407
P15622	9606.ENSP00000470323
Q96BR9	9606.ENSP00000362609
Q96BR9	9606.ENSP00000362609
Q96BR9	9606.ENSP00000413017
Q96BR9	9606.ENSP00000415836
Q96BR9	9606.ENSP00000483547
Q96BR9	9606.ENSP00000388850
Q96BR9	9606.ENSP00000387757
P78424	9606.ENSP00000384004
P78424	9606.ENSP00000384264
P78424	9606.ENSP00000384004
P78424	9606.ENSP00000384004
P78424	9606.ENSP00000384004
P78424	9606.ENSP00000377836
P78424	9606.ENSP00000384004
P78424	9606.ENSP00000368370
P78424	9606.ENSP00000377836
P78424	9606.ENSP00000384004
P78424	9606.ENSP00000384004
P78424	9606.ENSP00000411593
P78424	9606.ENSP00000384264
P78424	9606.ENSP00000455507
Q00444	9606.ENSP00000309336
Q00444	9606.ENSP00000328928
Q00444	9606.ENSP00000243108
Q00444	9606.ENSP00000399808
Q00444	9606.ENSP00000420009
Q00444	9606.ENSP00000239151
Q00444	9606.ENSP00000302548
Q00444	9606.ENSP00000242159
Q00444	9606.ENSP00000239165
Q00444	9606.ENSP00000222728
Q00444	9606.ENSP00000302548
Q00444	9606.ENSP00000243108
Q00444	9606.ENSP00000309336
Q00444	9606.ENSP00000328928
Q00444	9606.ENSP00000239151
Q00444	9606.ENSP00000420009
Q00444	9606.ENSP00000239165
Q00444	9606.ENSP00000399808
Q00444	9606.ENSP00000242159
Q00444	9606.ENSP00000309336
Q00444	9606.ENSP00000302548
Q00444	9606.ENSP00000243108
Q00444	9606.ENSP00000242159
Q00444	9606.ENSP00000399808
Q00444	9606.ENSP00000328928
Q00444	9606.ENSP00000239165
Q00444	9606.ENSP00000420009
Q00444	9606.ENSP00000309336
Q00444	9606.ENSP00000399808
Q00444	9606.ENSP00000302548
Q00444	9606.ENSP00000328928
Q00444	9606.ENSP00000243108
Q00444	9606.ENSP00000242159
Q00444	9606.ENSP00000420009
Q00444	9606.ENSP00000309336
Q00444	9606.ENSP00000328928
Q00444	9606.ENSP00000302548
Q00444	9606.ENSP00000399808
Q00444	9606.ENSP00000243108
Q00444	9606.ENSP00000420009
Q00444	9606.ENSP00000328928
Q00444	9606.ENSP00000302548
Q00444	9606.ENSP00000420009
Q00444	9606.ENSP00000309336
Q00444	9606.ENSP00000399808
Q00444	9606.ENSP00000328928
Q00444	9606.ENSP00000309336
Q00444	9606.ENSP00000420009
Q00444	9606.ENSP00000399808
Q00444	9606.ENSP00000328928
Q00444	9606.ENSP00000420009
Q00444	9606.ENSP00000399808
Q00444	9606.ENSP00000399808
Q00444	9606.ENSP00000420009
Q00444	9606.ENSP00000420009
O43295	9606.ENSP00000347198
O43295	9606.ENSP00000459615
O43295	9606.ENSP00000373347
O43295	9606.ENSP00000376367
O43295	9606.ENSP00000497733
O43295	9606.ENSP00000373347
O43295	9606.ENSP00000459615
O43295	9606.ENSP00000497733
O43295	9606.ENSP00000376367
O43295	9606.ENSP00000373347
O43295	9606.ENSP00000459615
O43295	9606.ENSP00000417335
O43295	9606.ENSP00000497733
